"","id_jednostki","klasa_pr","sek","woj","zawod_kod2","waga","wolne_miejsca"
"4662","e6de9d0ff0f7ab08976cb39d5d6c0f0b5d02523f","D",2,24,3,1,4
"4663","e6de9d0ff0f7ab08976cb39d5d6c0f0b5d02523f","D",2,24,8,1,4
"4664","97f4f013a6e70d827987080fb2ee45c1c226266a","S",2,24,9,18,2
"4665","6f72bdbc244aa501d769af161da1fac97f215640","D",2,24,4,1,4
"4666","6f72bdbc244aa501d769af161da1fac97f215640","D",2,24,7,1,4
"4667","72d5818179e36cf472d70bd2dd16df8b518ca3ff","D",1,24,2,1,3
"4668","731f1cef90cdd0ab6a42ee5190a8a32a363a4b0d","D",1,16,1,1,5
"4669","37f4041d2167e4e955d7e74c39b7d94e559136c9","D",2,24,8,1,2
"4670","5403d68c432507265d9a30fb95a337b200031118","M",1,10,2,1,4
"4671","3cd41b33a3a1c7a5a5ec607e09edd0ac1cffbfa4","D",2,24,4,1,5
"4672","3cd41b33a3a1c7a5a5ec607e09edd0ac1cffbfa4","D",2,24,5,1,7
"4673","2ca6b69987b7245220a3ac31e57642bf1b2c938a","D",1,24,7,2,4
"4674","688591888ad1186c98fadcf4fa4720d97d27a44a","D",2,24,8,1,5
"4675","dc65b512d3c0eea06e190a4f3fc5b61e7d943fe2","D",2,2,1,1,18
"4676","dc65b512d3c0eea06e190a4f3fc5b61e7d943fe2","D",2,2,2,1,5
"4677","dc65b512d3c0eea06e190a4f3fc5b61e7d943fe2","D",2,2,4,1,4
"4678","dc65b512d3c0eea06e190a4f3fc5b61e7d943fe2","D",2,2,9,1,7
"4679","49caf4d024671138b4f8fc5d91b35b6a35336c46","M",2,24,5,145,3
"4680","e9c03e62f557f6a4aa5767c6b1163f14ce44e5f8","S",2,24,9,2,3
"4681","780cf0466c594f37bafca1b2bbb504d110a6db36","D",2,24,5,2,2
"4682","780cf0466c594f37bafca1b2bbb504d110a6db36","D",2,24,9,2,1
"4683","e066d66bec03109b4b68732a3bd075961f2fe1da","M",2,24,8,103,2
"4684","cb7e3a22986db73fdf062277e995a3457b769fff","D",2,24,2,12,6
"4685","8f3ef0a7a4c9a45580a6c6094987fa99a55e8892","S",2,24,2,12,2
"4686","8f3ef0a7a4c9a45580a6c6094987fa99a55e8892","S",2,24,9,12,8
"4687","ba47426e8060bc96a44bac1369aaa860af45b565","M",2,16,7,77,5
"4688","8d5229afb56eb32f61ac22fab17241158a589992","M",2,16,7,51,6
"4689","cf261ed2ccfa021956ec4ccd2b60f9cddc2f42dc","D",2,16,8,1,7
"4690","91e5050274134a6e1611d86480d979c65779764b","D",2,16,4,1,4
"4691","91e5050274134a6e1611d86480d979c65779764b","D",2,16,5,1,3
"4692","91e5050274134a6e1611d86480d979c65779764b","D",2,16,7,1,2
"4693","91e5050274134a6e1611d86480d979c65779764b","D",2,16,8,1,6
"4694","5e162be0b801ba4436b0097545c6f2d41c38b9c2","S",2,16,9,16,4
